fecha_hora,tipo_resultado,tipo_animal,raza,color,edad_en_dias,esterilizado,sexo
2014-07-22 16:04:00,Transfer,Cat,Domestic Shorthair Mix,Orange Tabby,14,No,Macho
2013-11-07 11:47:00,Transfer,Dog,Beagle Mix,White/Brown,365,Si,Hembra
2014-06-03 14:20:00,Adoption,Dog,Pit Bull,Blue/White,365,Si,Macho
2014-06-15 15:50:00,Transfer,Dog,Miniature Schnauzer Mix,White,3285,Si,Macho
2014-07-07 14:04:00,Euthanasia,Other,Bat Mix,Brown,150,Desconocido,Desconocido
2013-10-07 13:06:00,Transfer,Dog,Leonberger Mix,Brown/White,120,No,Macho
2014-12-13 12:20:00,Euthanasia,Other,Squirrel Mix,Tan,365,Desconocido,Desconocido
2014-12-08 15:55:00,Transfer,Dog,Chihuahua Shorthair Mix,Brown,1095,Si,Hembra
2014-08-14 18:45:00,Adoption,Cat,Domestic Shorthair Mix,Blue Tabby/White,30,No,Hembra
2014-06-29 17:45:00,Adoption,Cat,Domestic Shorthair Mix,White/Black,90,Si,Hembra
2014-03-28 14:55:00,Return to Owner,Cat,Domestic Medium Hair Mix,Black/White,365,Si,Hembra
2014-03-28 14:39:00,Transfer,Dog,Papillon/Border Collie,Black/White,730,Si,Macho
2014-05-26 19:10:00,Adoption,Dog,Chihuahua Shorthair/Pomeranian,Black,60,Si,Macho
2014-04-25 11:17:00,Return to Owner,Dog,Miniature Schnauzer/Miniature Poodle,White,1460,Si,Hembra
2014-10-26 18:20:00,Return to Owner,Dog,Labrador Retriever Mix,Black,2920,Si,Macho
2014-06-15 15:11:00,Transfer,Dog,Rat Terrier Mix,White/Black,730,Si,Macho
2014-04-16 12:51:00,Transfer,Dog,Pit Bull Mix,Brown Brindle/White,365,Si,Macho
2014-01-09 19:29:00,Transfer,Cat,Domestic Shorthair Mix,Black/White,21,No,Macho
2014-12-21 18:20:00,Adoption,Dog,German Shepherd/Labrador Retriever,Black/White,60,Si,Hembra
2014-08-13 15:04:00,Adoption,Cat,Domestic Shorthair Mix,Brown Tabby,60,Si,Hembra
2014-03-06 14:29:00,Transfer,Cat,Domestic Shorthair Mix,Brown Tabby/White,240,Desconocido,Desconocido
2014-08-31 15:45:00,Adoption,Cat,Domestic Shorthair Mix,Black Tabby,150,Si,Macho
2014-12-11 17:52:00,Adoption,Dog,Beagle Mix,Tan/White,730,Si,Hembra
2014-10-31 18:29:00,Adoption,Cat,Domestic Shorthair Mix,Orange Tabby,60,Si,Macho
2013-12-16 13:59:00,Transfer,Cat,Domestic Medium Hair Mix,Black/White,365,Si,Macho
2014-10-19 17:54:00,Adoption,Dog,Mastiff Mix,Brown Brindle,365,Si,Hembra
2013-12-25 09:47:00,Transfer,Dog,Plott Hound Mix,Brown Brindle/Black,120,No,Hembra
2013-11-19 18:30:00,Adoption,Dog,Labrador Retriever Mix,Yellow,60,Si,Hembra
2014-11-04 18:03:00,Transfer,Dog,Chihuahua Shorthair Mix,Blue/Tan,120,No,Hembra
2014-07-03 12:12:00,Transfer,Cat,Siamese,Seal Point,60,No,Hembra
2014-06-11 17:11:00,Transfer,Cat,Domestic Shorthair Mix,Black,14,Desconocido,Desconocido
2014-07-03 17:01:00,Adoption,Cat,Domestic Shorthair Mix,Torbie,60,Si,Hembra
2014-01-03 17:47:00,Adoption,Dog,Labrador Retriever Mix,Tan/White,90,Si,Hembra
2014-07-19 17:36:00,Adoption,Cat,Domestic Shorthair Mix,Black,90,Si,Hembra
2014-07-09 11:54:00,Adoption,Dog,Labrador Retriever Mix,Black/White,4380,Si,Macho
2014-08-27 16:27:00,Transfer,Cat,Domestic Shorthair Mix,Black,21,No,Macho
2014-04-26 13:00:00,Adoption,Dog,Chihuahua Shorthair Mix,Buff,730,Si,Hembra
2013-11-02 17:47:00,Adoption,Dog,Chihuahua Shorthair Mix,Red/White,1460,Si,Hembra
2014-09-04 09:57:00,Died,Cat,Domestic Medium Hair Mix,Orange Tabby,1095,Si,Macho
2014-04-03 13:26:00,Transfer,Dog,Miniature Pinscher Mix,Black/White,365,No,Macho
2014-07-07 08:40:00,Euthanasia,Other,Bat,Black/Brown,365,Desconocido,Desconocido
2014-07-12 15:00:00,Adoption,Cat,Russian Blue Mix,Blue,1460,Si,Hembra
2014-02-28 10:47:00,Adoption,Dog,Cardigan Welsh Corgi/English Setter,White/Black,90,Si,Hembra
2014-12-09 15:18:00,Transfer,Cat,Domestic Shorthair Mix,Cream Tabby/White,730,Si,Macho
2014-08-12 15:42:00,Adoption,Cat,Russian Blue Mix,Blue,2555,Si,Macho
2013-10-13 15:10:00,Adoption,Dog,Border Collie Mix,Black/White,1095,Si,Hembra
2014-07-19 13:08:00,Transfer,Cat,Domestic Shorthair Mix,Calico,30,No,Hembra
2013-10-14 11:42:00,Transfer,Dog,Pit Bull Mix,Brown Merle/White,730,Si,Hembra
2014-12-01 18:30:00,Return to Owner,Dog,Boxer Mix,Brown,365,Si,Macho
2014-09-25 09:00:00,Transfer,Cat,Domestic Medium Hair Mix,Brown Tabby,365,No,Hembra
2014-06-01 17:15:00,Transfer,Cat,Domestic Shorthair Mix,Calico,730,No,Hembra
2013-10-20 12:21:00,Transfer,Cat,Domestic Shorthair Mix,Chocolate,60,Si,Macho
2014-10-05 18:29:00,Adoption,Dog,Parson Russell Terrier Mix,White/Brown Brindle,1825,Si,Macho
2014-05-04 15:20:00,Euthanasia,Dog,Pit Bull Mix,Black/White,2190,Si,Hembra
2013-10-15 11:14:00,Adoption,Dog,Miniature Poodle Mix,White,1095,Si,Macho
2014-03-09 11:34:00,Return to Owner,Dog,Pit Bull Mix,White/Brown,1095,No,Hembra
2014-03-13 14:58:00,Transfer,Dog,Pit Bull Mix,Fawn,5,No,Macho
2014-11-13 11:37:00,Return to Owner,Dog,Miniature Schnauzer Mix,Black,730,Si,Macho
2014-05-01 17:05:00,Adoption,Dog,Chihuahua Shorthair Mix,Brown/White,365,Si,Hembra
2013-10-05 18:56:00,Adoption,Dog,Australian Shepherd/Australian Cattle Dog,Blue Merle/White,300,Si,Hembra
2014-04-21 18:04:00,Transfer,Cat,Domestic Shorthair Mix,Brown Tabby,28,No,Macho
2014-11-09 09:00:00,Transfer,Cat,Domestic Shorthair Mix,Brown Tabby/White,90,No,Hembra
2014-09-14 16:59:00,Return to Owner,Dog,Labrador Retriever Mix,Yellow,3650,Si,Hembra
2014-04-18 12:02:00,Transfer,Dog,Basenji/Chihuahua Longhair,Red/White,120,Si,Macho
2013-11-11 15:50:00,Adoption,Dog,Chihuahua Shorthair Mix,Buff,365,Si,Macho
2014-08-02 14:38:00,Transfer,Dog,Pit Bull Mix,Blue/White,150,Si,Hembra
2014-05-31 18:32:00,Return to Owner,Dog,Labrador Retriever,Tan,730,Si,Macho
2014-12-05 08:27:00,Euthanasia,Other,Bat Mix,Brown,365,Desconocido,Desconocido
2014-07-01 11:45:00,Transfer,Dog,Siberian Husky/German Shepherd,White,60,No,Macho
2014-05-30 19:01:00,Euthanasia,Other,Bat,Brown/Black,28,Desconocido,Desconocido
2014-01-12 12:06:00,Adoption,Cat,Domestic Shorthair Mix,Torbie,365,Si,Hembra
2013-11-19 13:43:00,Euthanasia,Cat,Domestic Medium Hair Mix,Brown Tabby,60,No,Hembra
2014-03-18 16:04:00,Adoption,Dog,Chihuahua Shorthair Mix,Brown,1095,Si,Hembra
2014-01-16 17:50:00,Transfer,Dog,German Shepherd/Boxer,Sable,28,No,Macho
2014-01-17 12:33:00,Return to Owner,Cat,Domestic Shorthair Mix,Blue Tabby/White,2190,Si,Macho
2013-12-27 16:44:00,Adoption,Dog,Labrador Retriever/German Shepherd,Black/Brown,730,Si,Macho
2014-05-31 11:22:00,Transfer,Dog,Labrador Retriever Mix,Cream,2,No,Hembra
2014-09-23 09:00:00,Transfer,Cat,Domestic Shorthair Mix,Black/White,730,Si,Macho
2014-04-27 15:35:00,Euthanasia,Cat,Domestic Shorthair Mix,Black/White,14,Desconocido,Desconocido
2013-11-21 18:23:00,Adoption,Dog,Pit Bull Mix,White/Tan,60,Si,Hembra
2014-09-20 18:26:00,Transfer,Cat,Domestic Shorthair Mix,Orange Tabby,21,No,Macho
2014-11-22 15:08:00,Adoption,Cat,Domestic Shorthair Mix,Brown Tabby,60,Si,Hembra
2014-04-13 16:02:00,Euthanasia,Other,Raccoon Mix,Black/Gray,1095,Desconocido,Desconocido
2014-06-24 15:54:00,Adoption,Cat,Domestic Shorthair Mix,Brown Tabby,90,Si,Hembra
2014-01-29 12:10:00,Adoption,Dog,Chihuahua Shorthair Mix,Black/Tan,30,No,Hembra
2014-05-25 16:23:00,Adoption,Dog,German Shepherd/Chow Chow,Tan,1095,Si,Macho
2014-09-14 09:00:00,Transfer,Cat,Domestic Shorthair Mix,Blue Tabby,730,Si,Macho
2014-10-08 16:50:00,Adoption,Dog,Pit Bull/Labrador Retriever,Black,60,Si,Hembra
2013-10-10 16:25:00,Adoption,Cat,Domestic Shorthair Mix,Black,120,Si,Macho
2014-04-23 12:18:00,Transfer,Dog,Yorkshire Terrier Mix,Black/Tan,3650,Si,Macho
2014-12-15 18:00:00,Adoption,Dog,Rat Terrier Mix,White/Brown,180,Si,Macho
